file_name,test_id,model,temperature,locator,wsd_type,examples,description,batch_size,example_length,synonym_count,include_translation,include_sense_formatting_header,ignore_one_sense_words,max_additional_context_length,price_per_1M,output_cost_pct,nontop_quality,difficulty_quality,time_per_1M_hours,auto_resolved_count,auto_resolved_pct
10001.json,10001,gpt5nano_low,0.0,stanza,v2_grouping,0,short,20,short,0,False,False,True,80,22.72,91.1%,85.82%,88.39%,1.75,28600,33.13%
10002.json,10002,gpt5nano_low,0.0,stanza,v2_grouping,1,short,20,short,0,False,False,True,80,23.15,90.4%,86.07%,89.03%,10.39,28600,33.13%
10003.json,10003,gpt5nano_low,0.0,stanza,v2_grouping,2,short,20,short,0,False,False,True,80,23.08,89.4%,86.42%,88.76%,1.21,28600,33.13%
10004.json,10004,gpt5nano_low,0.0,stanza,v2_grouping,0,short,20,medium,0,False,False,True,80,22.65,91.1%,86.01%,88.90%,1.08,28600,33.13%
10005.json,10005,gpt5nano_low,0.0,stanza,v2_grouping,1,short,20,medium,0,False,False,True,80,23.42,90.4%,86.29%,88.98%,1.12,28600,33.13%
10006.json,10006,gpt5nano_low,0.0,stanza,v2_grouping,2,short,20,medium,0,False,False,True,80,23.02,89.1%,86.05%,89.12%,1.09,28600,33.13%
10007.json,10007,gpt5nano_low,0.0,stanza,v2_grouping,0,short,20,long,0,False,False,True,80,22.74,91.1%,85.73%,88.70%,1.06,28600,33.13%
10008.json,10008,gpt5nano_low,0.0,stanza,v2_grouping,1,short,20,long,0,False,False,True,80,23.64,90.3%,85.94%,88.95%,1.30,28600,33.13%
10009.json,10009,gpt5nano_low,0.0,stanza,v2_grouping,2,short,20,long,0,False,False,True,80,23.27,88.9%,86.24%,88.73%,1.10,28600,33.13%
10010.json,10010,gpt5nano_low,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,80,22.81,91.2%,85.77%,88.40%,1.09,28600,33.13%
10011.json,10011,gpt5nano_low,0.0,stanza,v2_grouping,0,medium,20,short,0,False,False,True,80,22.65,90.9%,85.83%,88.37%,1.44,28600,33.13%
10012.json,10012,gpt5nano_low,0.0,stanza,v2_grouping,0,full,20,short,0,False,False,True,80,22.12,90.2%,86.12%,88.57%,1.12,28600,33.13%
10013.json,10013,gpt5nano_low,0.0,stanza,v2_grouping,0,short,20,short,1,False,False,True,80,22.43,90.8%,85.45%,88.07%,1.27,28600,33.13%
10014.json,10014,gpt5nano_low,0.0,stanza,v2_grouping,0,short,20,short,2,False,False,True,80,22.41,90.5%,86.19%,88.61%,1.24,28600,33.13%
10015.json,10015,gpt5nano_low,0.0,stanza,v2_grouping,0,short,20,short,3,False,False,True,80,22.60,90.3%,85.83%,88.26%,1.18,28600,33.13%
10016.json,10016,gpt5nano_low,0.0,stanza,v2_grouping,0,short,20,short,4,False,False,True,80,22.62,90.3%,86.11%,88.44%,1.34,28600,33.13%
10017.json,10017,gpt5nano_low,0.0,stanza,v2_grouping,0,short,20,short,5,False,False,True,80,22.67,90.3%,86.25%,88.73%,1.18,28600,33.13%
10018.json,10018,gpt5nano_low,0.0,stanza,v2_grouping,0,short,1,short,0,False,False,True,80,57.65,85.9%,86.32%,88.79%,2.54,28600,33.13%
10019.json,10019,gpt5nano_low,0.0,stanza,v2_grouping,0,short,5,short,0,False,False,True,80,35.71,91.9%,85.44%,88.09%,1.67,28600,33.13%
6000.json,6000,gpt4omini,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,60,10.02,19.8%,79.11%,84.64%,0.65,28596,33.13%
6001.json,6001,gpt4omini,0.0,stanza,v2_grouping,0,short,20,short,0,False,False,True,80,10.36,18.6%,79.33%,85.07%,1.01,28596,33.13%
6002.json,6002,gpt4omini,0.0,stanza,v2_grouping,0,medium,20,short,0,False,False,True,80,10.49,18.6%,79.89%,85.20%,1.18,28596,33.13%
6003.json,6003,gpt4omini,0.0,stanza,v2_grouping,0,full,20,short,0,False,False,True,80,10.70,17.3%,80.66%,85.73%,0.68,28596,33.13%
6004.json,6004,gpt4omini,0.0,stanza,v2_grouping,1,short,20,short,0,False,False,True,80,11.47,19.0%,81.82%,87.37%,0.98,28596,33.13%
6005.json,6005,gpt4omini,0.0,stanza,v2_grouping,1,short,20,short,0,False,True,True,80,11.47,17.9%,79.22%,84.89%,1.22,28596,33.13%
6006.json,6006,gpt4omini,0.0,stanza,v2_grouping,2,short,20,short,0,False,True,True,80,11.91,16.7%,79.24%,84.99%,0.67,28596,33.13%
6007.json,6007,gpt4omini,0.0,stanza,v2_grouping,1,short,20,medium,0,False,True,True,80,11.58,17.8%,79.45%,85.08%,0.67,28596,33.13%
6007n.json,6007n,gpt4omini,0.0,stanza,v2_grouping,1,short,20,medium,0,False,False,True,80,11.73,19.0%,82.00%,87.41%,1.25,28596,33.13%
6008.json,6008,gpt4omini,0.0,stanza,v2_grouping,2,short,20,medium,0,False,True,True,80,12.27,16.6%,79.69%,85.71%,0.70,28596,33.13%
6008n.json,6008n,gpt4omini,0.0,stanza,v2_grouping,2,short,20,medium,0,False,False,True,80,12.25,17.0%,82.02%,87.27%,0.76,28596,33.13%
6009.json,6009,gpt4omini,0.0,stanza,v2_grouping,1,short,20,long,0,False,False,True,80,11.76,18.8%,82.29%,87.52%,0.69,28596,33.13%
60099.json,60099,gpt4omini,0.0,stanza,v2_grouping,1,full,20,medium,3,True,False,True,80,12.94,17.1%,83.27%,87.50%,0.96,28596,33.13%
6010.json,6010,gpt4omini,0.0,stanza,v2_grouping,2,short,20,long,0,False,False,True,80,12.54,16.7%,82.31%,87.11%,0.76,28596,33.13%
6011.json,6011,gpt4omini,0.0,stanza,v2_grouping,0,very_short,20,short,0,True,False,True,80,10.60,18.6%,80.54%,85.47%,0.92,28596,33.13%
6012.json,6012,gpt4omini,0.0,stanza,v2_grouping,0,short,20,short,0,True,False,True,80,10.59,18.1%,80.55%,85.60%,0.73,28596,33.13%
6013.json,6013,gpt4omini,0.0,stanza,v2_grouping,0,medium,20,short,0,True,False,True,80,10.67,17.9%,80.88%,85.67%,0.79,28596,33.13%
6014.json,6014,gpt4omini,0.0,stanza,v2_grouping,0,full,20,short,0,True,False,True,80,11.00,17.0%,81.37%,85.39%,0.73,28596,33.13%
6015.json,6015,gpt4omini,0.0,stanza,v2_grouping,1,very_short,20,short,0,True,False,True,80,11.79,18.6%,81.57%,87.15%,0.63,28596,33.13%
6016.json,6016,gpt4omini,0.0,stanza,v2_grouping,2,very_short,20,short,0,True,False,True,80,12.25,16.7%,81.77%,86.58%,0.72,28596,33.13%
6017.json,6017,gpt4omini,0.0,stanza,v2_grouping,1,short,20,short,0,True,False,True,80,11.91,18.3%,81.67%,87.01%,0.65,28596,33.13%
6018.json,6018,gpt4omini,0.0,stanza,v2_grouping,2,short,20,short,0,True,False,True,80,12.34,16.6%,81.96%,87.05%,0.84,28596,33.13%
6019.json,6019,gpt4omini,0.0,stanza,v2_grouping,0,short,20,short,1,True,False,True,80,10.63,18.2%,80.55%,85.57%,0.64,28596,33.13%
6020.json,6020,gpt4omini,0.0,stanza,v2_grouping,0,very_short,20,short,3,True,False,True,80,10.83,17.7%,80.97%,85.87%,0.66,28596,33.13%
6021.json,6021,gpt4omini,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,70,10.26,19.7%,79.23%,85.22%,0.81,28596,33.13%
6022.json,6022,gpt4omini,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,80,10.41,19.3%,79.58%,85.27%,0.75,28596,33.13%
6023.json,6023,gpt4omini,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,90,10.55,18.8%,79.61%,84.97%,0.77,28596,33.13%
6024.json,6024,gpt4omini,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,100,10.62,18.4%,79.56%,85.31%,0.61,28596,33.13%
6025.json,6025,gpt4omini,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,120,11.05,18.0%,79.61%,84.82%,0.68,28596,33.13%
6026.json,6026,gpt4omini,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,140,11.28,17.7%,79.47%,84.69%,0.62,28596,33.13%
6027.json,6027,gpt4omini,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,160,11.53,17.3%,79.29%,85.09%,0.74,28596,33.13%
6028.json,6028,gpt4omini,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,200,11.75,16.5%,79.63%,85.09%,0.65,28596,33.13%
6029.json,6029,gpt4omini,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,,12.46,15.5%,79.26%,84.76%,0.97,28596,33.13%
6030.json,6030,gpt4omini,0.0,stanza,v2_grouping,0,very_short,20,short,1,False,False,True,80,10.56,19.0%,79.90%,84.92%,0.64,28596,33.13%
6031.json,6031,gpt4omini,0.0,stanza,v2_grouping,0,short,20,short,1,False,False,True,80,10.53,18.6%,80.22%,85.58%,0.93,28596,33.13%
6032.json,6032,gpt4omini,0.0,stanza,v2_grouping,0,medium,20,short,1,False,False,True,80,10.60,18.3%,80.42%,85.63%,0.77,28596,33.13%
6034.json,6034,gpt4omini,0.0,stanza,v2_grouping,1,medium,20,short,1,False,False,True,80,11.85,18.5%,81.75%,86.65%,0.63,28596,33.13%
6035.json,6035,gpt4omini,0.0,stanza,v2_grouping,1,medium,20,short,1,True,False,True,80,11.86,18.0%,82.09%,87.07%,0.75,28596,33.13%
6036.json,6036,gpt4omini,0.0,stanza,v2_grouping,1,medium,20,medium,1,True,False,True,80,12.01,17.9%,82.35%,87.31%,0.77,28596,33.13%
6036b.json,6036b,gpt4omini,0.0,stanza,v2_grouping,0,medium,20,medium,2,False,False,True,80,10.76,17.9%,80.32%,85.78%,0.93,28596,33.13%
6037.json,6037,gpt4omini,0.0,stanza,v2_grouping,0,medium,20,medium,3,False,False,True,80,10.83,17.4%,81.00%,86.07%,0.65,28596,33.13%
6038.json,6038,gpt4omini,0.0,stanza,v2_grouping,0,medium,20,medium,4,False,False,True,80,10.79,17.5%,80.86%,85.92%,0.88,28596,33.13%
6038b.json,6038b,gpt4omini,0.0,stanza,v2_grouping,0,medium,20,medium,3,True,False,True,80,11.04,17.3%,81.42%,86.09%,0.89,28596,33.13%
6039.json,6039,gpt4omini,0.0,stanza,v2_grouping,1,full,10,short,1,True,False,False,,22.59,12.5%,82.75%,87.03%,0.79,0,0.00%
6040.json,6040,gpt4omini,0.0,stanza,v2_grouping,0,short,17,short,0,False,False,True,80,10.32,17.9%,79.56%,85.02%,0.64,28596,33.13%
6041.json,6041,gpt4omini,0.0,stanza,v2_grouping,0,short,15,short,0,False,False,True,80,12.04,18.3%,79.59%,85.01%,0.68,28596,33.13%
6042.json,6042,gpt4omini,0.0,stanza,v2_grouping,0,short,13,short,0,False,False,True,80,10.53,16.9%,80.01%,85.26%,0.66,28596,33.13%
6043.json,6043,gpt4omini,0.0,stanza,v2_grouping,0,short,10,short,0,False,False,True,80,11.24,16.1%,80.02%,85.33%,0.70,28596,33.13%
6044.json,6044,gpt4omini,0.0,stanza,v2_grouping,0,short,7,short,0,False,False,True,80,12.58,14.9%,79.98%,85.21%,0.72,28596,33.13%
6045.json,6045,gpt4omini,0.0,stanza,v2_grouping,0,short,5,short,0,False,False,True,80,14.41,13.6%,79.51%,85.03%,0.78,28596,33.13%
6046.json,6046,gpt4omini,0.0,stanza,v2_grouping,0,short,3,short,0,False,False,True,80,18.71,10.7%,78.81%,84.89%,0.96,28596,33.13%
6046b.json,6046b,gpt4omini,0.0,stanza,v2_grouping,1,medium,10,short,1,False,False,True,80,12.66,15.7%,82.89%,87.09%,0.77,28596,33.13%
6047.json,6047,gpt4omini,0.0,stanza,v2_grouping,1,full,10,short,1,False,False,True,80,13.11,14.7%,83.03%,87.63%,0.97,28596,33.13%
6048.json,6048,gpt4omini,0.0,stanza,v2_grouping,1,full,10,medium,1,False,False,True,80,13.26,14.6%,83.86%,87.74%,0.95,28596,33.13%
6049.json,6049,gpt4omini,0.0,stanza,v2_grouping,2,full,10,medium,3,True,False,True,80,14.93,12.6%,83.35%,87.00%,0.98,28596,33.13%
7001.json,7001,gpt5nano_minimal,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,80,4.14,46.7%,62.37%,73.71%,0.78,28596,33.13%
7002.json,7002,gpt5nano_minimal,0.0,stanza,v2_grouping,1,medium,15,medium,2,False,False,True,120,5.05,40.2%,64.22%,74.76%,0.80,28596,33.13%
7003.json,7003,gpt5nano_minimal,0.0,stanza,v2_grouping,0,short,20,short,1,True,False,True,80,4.17,45.2%,63.51%,74.25%,0.86,28596,33.13%
7004.json,7004,gpt5nano_minimal,0.0,stanza,v2_grouping,0,very_short,25,short,0,False,False,True,,4.90,39.7%,61.53%,72.72%,0.86,28596,33.13%
7005.json,7005,gpt5nano_low,0.0,stanza,v2_grouping,2,full,10,long,3,True,False,True,140,28.15,86.0%,86.89%,89.08%,1.45,28596,33.13%
7006.json,7006,gpt5nano_low,0.0,stanza,v2_grouping,1,medium,15,short,1,False,False,True,80,24.53,90.0%,85.90%,88.55%,1.16,28596,33.13%
7007.json,7007,gpt5nano_low,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,80,22.69,91.2%,85.63%,88.11%,1.06,28596,33.13%
7008.json,7008,gpt5nano_low,0.0,stanza,v2_grouping,1,short,7,medium,1,False,False,True,100,32.05,90.0%,86.34%,89.14%,1.28,28596,33.13%
7009.json,7009,gpt5mini_minimal,0.0,stanza,v2_grouping,0,short,20,short,0,False,False,True,80,17.24,40.0%,81.54%,86.43%,0.76,28596,33.13%
7010.json,7010,gpt5mini_minimal,0.0,stanza,v2_grouping,1,medium,15,medium,2,False,False,True,100,20.97,35.0%,83.27%,87.66%,0.80,28596,33.13%
7011.json,7011,gpt5mini_minimal,0.0,stanza,v2_grouping,1,short,20,short,1,True,False,True,80,19.21,36.7%,82.90%,87.11%,0.72,28596,33.13%
7012.json,7012,gpt5mini_minimal,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,160,19.03,36.5%,81.85%,86.52%,0.76,28596,33.13%
7013.json,7013,gpt5mini_low,0.0,stanza,v2_grouping,2,full,10,long,3,True,False,True,120,80.30,76.2%,90.39%,91.75%,1.10,28596,33.13%
7014.json,7014,gpt5mini_low,0.0,stanza,v2_grouping,1,medium,13,medium,1,False,False,True,100,74.27,82.0%,90.01%,91.05%,1.09,28596,33.13%
7015.json,7015,gpt5mini_low,0.0,stanza,v2_grouping,0,short,17,short,0,False,False,True,80,70.48,85.3%,89.38%,90.95%,1.07,28596,33.13%
7016.json,7016,gpt41nano,0.0,stanza,v2_grouping,0,short,20,short,0,False,False,True,80,6.48,13.6%,67.78%,77.58%,0.66,28596,33.13%
7017.json,7017,gpt41nano,0.0,stanza,v2_grouping,2,full,10,medium,3,True,False,True,120,10.42,9.4%,69.46%,78.70%,0.70,28596,33.13%
7018.json,7018,gpt41nano,0.0,stanza,v2_grouping,1,medium,15,short,1,False,False,True,90,7.69,12.1%,67.86%,77.39%,0.69,28596,33.13%
7019.json,7019,gpt41nano,0.0,stanza,v2_grouping,1,short,7,medium,1,False,False,True,100,9.85,10.6%,67.98%,77.38%,0.74,28596,33.13%
7020.json,7020,gpt41nano,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,200,7.40,12.0%,67.44%,77.75%,0.68,28596,33.13%
8001.json,8001,gpt4omini,0.3,stanza,v2_grouping,1,medium,15,short,1,False,False,True,80,13.66,17.5%,81.76%,87.13%,0.94,28596,33.13%
8002.json,8002,gpt4omini,0.5,stanza,v2_grouping,0,short,20,short,0,False,False,True,80,10.35,18.4%,78.83%,84.95%,0.68,28596,33.13%
8003.json,8003,gpt4omini,0.7,stanza,v2_grouping,1,medium,10,medium,1,False,False,True,100,13.11,14.7%,82.79%,86.99%,0.74,28596,33.13%
8004.json,8004,gpt4omini,1.0,stanza,v2_grouping,2,full,10,long,2,False,False,True,120,15.35,11.7%,82.45%,87.20%,0.70,28596,33.13%
8005.json,8005,gpt4omini,0.0,pattern,v2_grouping,0,short,20,short,0,False,False,True,80,16.13,18.7%,72.65%,79.33%,0.27,7884,9.14%
8006.json,8006,gpt4omini,0.0,pattern,v2_grouping,2,full,10,long,3,True,False,True,140,30.17,9.6%,78.80%,83.96%,0.54,7884,9.14%
8007.json,8007,gpt4omini,0.0,pattern,v2_grouping,1,medium,15,medium,1,False,False,True,100,24.45,15.8%,76.20%,82.77%,0.56,7884,9.14%
8008.json,8008,gpt4omini,0.0,stanza,v2_grouping,0,short,20,short,0,False,False,False,80,15.22,19.6%,79.64%,85.46%,1.00,0,0.00%
8009.json,8009,gpt4omini,0.0,stanza,v2_grouping,2,medium,15,medium,2,True,False,False,100,22.30,15.8%,82.55%,87.33%,0.79,0,0.00%
8010.json,8010,gpt4omini,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,False,,18.84,16.0%,79.45%,85.40%,0.74,0,0.00%
8011.json,8011,gpt4omini,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,50,9.87,20.7%,78.54%,84.11%,0.67,28596,33.13%
8012.json,8012,gpt4omini,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,300,12.10,15.5%,79.40%,84.97%,0.67,28596,33.13%
8013.json,8013,gpt4omini,0.0,stanza,v2_grouping,1,medium,10,short,1,False,False,True,,14.62,12.7%,81.99%,86.69%,0.94,28596,33.13%
8014.json,8014,gpt4omini,0.0,stanza,v2_grouping,1,short,1,short,1,False,False,True,80,48.74,5.8%,85.59%,89.25%,1.47,28596,33.13%
8015.json,8015,gpt4omini,0.0,stanza,v2_grouping,0,very_short,30,short,0,False,False,True,70,10.52,21.1%,79.27%,84.95%,0.67,28600,33.13%
8017.json,8017,gpt4omini,0.0,stanza,v2_grouping,0,short,20,short,5,False,False,True,80,10.78,17.8%,80.88%,85.91%,0.68,28600,33.13%
8018.json,8018,gpt4omini,0.0,stanza,v2_grouping,2,full,5,long,4,True,False,True,160,21.36,9.2%,83.22%,87.11%,0.75,28600,33.13%
8019.json,8019,gpt4omini,0.0,stanza,v2_grouping,0,medium,20,short,0,True,False,True,80,10.68,17.9%,81.01%,85.89%,3.95,28600,33.13%
8020.json,8020,gpt4omini,0.0,stanza,v2_grouping,1,medium,12,short,2,False,False,True,90,12.36,15.4%,82.58%,87.50%,2.11,28600,33.13%
9001.json,9001,gpt4omini,0.0,stanza,v2_grouping,0,short,20,short,0,False,False,True,80,10.45,18.9%,79.43%,84.99%,0.95,28600,33.13%
9002.json,9002,gpt5nano_minimal,0.0,stanza,v2_grouping,1,short,20,short,0,False,False,True,80,4.48,44.4%,62.19%,73.54%,1.06,28600,33.13%
9003.json,9003,gpt4omini,0.0,stanza,v2_grouping,0,full,20,short,1,False,False,True,80,10.79,17.2%,81.17%,85.68%,0.99,28600,33.13%
9004.json,9004,gpt4omini,0.0,stanza,v2_grouping,1,short,20,medium,0,True,False,True,80,11.94,18.0%,82.31%,87.49%,0.97,28600,33.13%
9005.json,9005,gpt4omini,0.0,stanza,v2_grouping,1,full,20,long,1,False,False,True,80,12.21,17.2%,82.60%,87.65%,1.03,28600,33.13%
9006.json,9006,gpt4omini,0.0,stanza,v2_grouping,1,full,20,medium,2,False,False,True,80,12.25,17.0%,82.86%,87.54%,1.04,28600,33.13%
9007.json,9007,gpt4omini,0.0,stanza,v2_grouping,1,full,20,medium,1,True,False,True,80,12.19,16.9%,82.66%,87.49%,1.00,28600,33.13%
9008.json,9008,gpt5nano_minimal,0.0,stanza,v2_grouping,1,medium,20,medium,1,False,False,True,80,4.55,43.4%,64.47%,75.01%,1.07,28600,33.13%
9009.json,9009,gpt5nano_low,0.0,stanza,v2_grouping,1,full,20,short,0,True,False,True,80,22.30,88.8%,86.17%,88.95%,1.44,28600,33.13%
9010.json,9010,gpt4omini,0.0,stanza,v2_grouping,2,full,20,long,2,True,False,True,80,13.49,15.4%,82.58%,87.17%,0.95,28600,33.13%
9011.json,9011,gpt4omini,0.3,stanza,v2_grouping,2,full,20,long,2,True,False,True,80,13.37,15.3%,82.49%,87.09%,1.02,28600,33.13%
9012.json,9012,gpt4omini,0.2,stanza,v2_grouping,2,full,20,long,2,True,False,True,80,13.43,15.3%,82.76%,87.29%,0.91,28600,33.13%
9013.json,9013,gpt4omini,0.1,stanza,v2_grouping,2,full,20,long,2,True,False,True,80,13.46,15.4%,82.51%,87.36%,1.00,28600,33.13%
9014.json,9014,gpt4omini,0.5,stanza,v2_grouping,2,full,20,long,2,True,False,True,80,13.39,15.2%,82.03%,87.12%,0.97,28600,33.13%
